Date,Title,Summary
2023/01/16,"Chillidak grabitatearen egindako borroka, ""Zero grabitatea"" Chillida Lekuko erakusketan","30 piezako erakusketa azaroaren 24tik aurrera egongo da bisitagai, eta ""Chillidak, bere pentsamenduaren funtsezko oinarri gisa, zientziarekin, espazioarekin eta filosofiarekin zuen interesa"" erakutsiko du."
2023/01/10,Esther Ferrerren pieza bat jarriko dute Tabakalera aurrean egongo den plazan,"Artista donostiarraren ""Zenbaki lehenen poema"" seriearen obra bat jarriko dute, berak dohaintzan emana, AHTaren Donostiako geltoki berriaren gainean eraikiko duten espazioan."
2023/01/11,Nolakoa izango da Arte Ederren Bilboko Museo berria?,"% 60 handiagoa izango da Museoa ""Agravitas"" Norman Fosterren eta Luis Maria Uriarteren proiektua gauzatutakoan. 2024rako egongo da bukatuta, aurreikuspenen arabera."
2023/01/10,"Aintzane Erkizia: ""Tintazko pinturaren helburua gauzen esentzia harrapatzea da""",Artearen historian tintak paper oso esanguratsua izan du.
2023/01/10,"Begietan eta bihotzean itsatsitako irudiak, Ukrainatik ekarri ditu Andoni Lubakik  ","2014tik Ukrainako Donbas eskualdean. Andoni Lubakik ikusi eta bizitakoak argazkitan bildu ditu. Orain, Donostiako Aieteko kultur-etxean ikusgai. Eta hark berak gidatutako bisitak, abian. "
2023/01/10,"Maite Luengo: ""Lehen ohikoa zen artelanak batak bestearen alboan kokatzea""","Arte galeriak kubo zuri aseptikoak dira gaur egun, baina arau hori behin baino gehiagotan hausten dute artistek eurek ere."
2023/01/11,"Saenz de Oiza, Oteiza eta Huarte erakusketa batean batera, Alzuzan","Oteiza Museoak ""Oiza Oteiza Huarte"" proiektua hartuko du 2023ko martxora arte, Francisco Javier Saenz de Oiza arkitektoak Jorge Oteizarekin eta Juan Huarterekin egindako proiektuak erakusteko."
2023/01/10,"Juanjo Eguizabal ""Ibiltaria""ren egilea zendu da","Obra ikoniko horrez gain, beste lan batzuk ere sortu zituen Eguizabalek, hala nola ""Indaptados"" Cicatriz taldearen diskoaren azala."
2023/01/10,Raisa Alava ilustratzaile arabarra da 2023ko Frantziako Tourreko kartelaren egilea,"Egilearen premisetako bat izan da kartelak ""kirola egitera, bizikleta hartzera"" gonbidatzea eta Tourraren 110. ediziotik bueltzatzen ari den filosofia berdea sustatzea."
2023/01/02,"Raisa Alava irudigilea, hunkituta bere lana Frantziako Tourraren aurkezpenean ikusita",Amurrioko (Araba) artistak egin du Euskal Herritik abiatuko den 2023ko Frantziako Tourraren kartelaren irudia.
2023/01/02,"Aintzane Erkizia: ""Bejondeiela artistei gure munduari egiten dizkioten ekarpenengatik""","Artistaren Nazioarteko Egunean, artearen eta artisten lanari buruzko hausnarketa."
2022/12/28,"Guggenheim Museoa doan bisita daiteke, aldez aurretik sarrera erreserbatuta","Abenduaren 2ra arte egongo da Bilboko museoa musutruk ikusteko aukera. Horretarako, EAEko herritarrek txartelen erreserba egin beharko dute webgunean edo telefono bidez. 60.000 lagunek hartu dute hitzordua dagoeneko."
2022/12/28,"Asier Mendizabal, Abigail Lazkoz eta Xabier Salaberria, Guggenheimi buruz","Hiru artiston lanak biltzen ditu Guggenheim Bilbao Museoak bere Bilduma Propioan, eta elkarrekin solasaldian jarri dituzte ETBko Albistegiek museoan bertan."
2022/12/27,"Ezagutu Guggenheim barrutik, Xabier Usabiagaren eskutik","""Gaur Egun""eko aurkezleak Frank Gehryren eraikina aurkeztuko digu bertatik, museoaren 25. urteurrenean."
