Omenaldia: Ricardo Miralles
Hitzaldia: ‘El rol de las mujeres en los órganos de gobierno y dirección de Empresas Familiares’
"UPV/EHUk aurkeztuko ditu Mars 2020 misioko bere ikerketen emaitzak eta etorkizuneko erronkak
"
"Marketin digitala negozio ideiak baliozkotzeko tresna zientifiko gisa’ jardunaldia
		
"
"Etorkizuna Eraikiz Foroa: Nolakoa izango da hurrengo belaunaldien etorkizuna?
"
"Jardunaldia: Eleaniztasuna eta Hizkuntza-gaitasun akademikoa Derrigorrezko Hezkuntzan
		
"
"Energia berriztagarriei buruzko mahai-ingurua
		
"
"Vitoria-Gasteizko Ingeniaritza Eskolako V. Ikerketa Jardunaldia
		
"
"Jardunaldia: ‘Emakumea eta ausazko jokoak’
		

"
"Recepciones de la antigüedad vascona y aquitana’ liburuaren aurkezpena
"
"Ama Hizkuntzen Nazioarteko Eguna
"
"Doktore berriak izendatzeko ekitaldia itzuli da UPV/EHUra
"
"Bilboko Ingeniaritza Eskolak Enplegu eta Enpresak Aurkezteko Jardunaldia-2023 antolatu du San Mames estadioan
		

 
"
"EHUTERPE unibertsitate koruaren kontzertua
	
					

"
"Bilboko Hezkuntza fakultateko 2021-2022ko promozioaren graduazio ekitaldia
		
"
"Aktore berri onenaren Goya saria irabazi duen Telmo Iruretak eta Aitziber Garmendiak ‘Sexberdinak’ antzezlana antzeztuko dute
		"
"Arkeologia emakumeekin
		

 
					

"
"UPV/EHUk Campus arteko kirol txapelketa egingo du
		
					

"
"Enpresaren Eguna ospatuko da Gipuzkoako Ingeniaritza Eskolan
		

 
					

"
"Erakusketa: ‘Les Corps Incorruptibles’
		

					

"
"Arabako Campuseko errendimendu handiko ikasle kirolarien aintzatespena
		

 
					

"
"Enpresa eta Berrikuntza Teknologikoko Zentroen Aurkezpenerako XVIII. Jardunaldiak
		

 
					

"
"Alooa eredu anatomiko berritzailearen aurkezpena
		

 
					

"
"Darwin Eguna: landareen etxekotzearen eta burmuinaren eragina giza eboluzioan
		

 
					

"
"UPV/EHUko Unibertsitate Orientaziorako azoka, Bizkaian
		

 
					

"
"Larrabetzuko oroimen historikoan oinarritutako proiektu artistikoen aurkezpena
		
"
"Erizaintza: Mugak gaindituz
		
"
"Euskal Emakumeak Zientzia eta Teknologian' erakusketaren inaugurazioa Metro Bilbaon
		
"
"Jardunaldia: Generoa eta zientziaren komunikazioa
		
"
"La tierra prometida' antzezlanaren irakurketa teatralizatua
		

"
"Emakumeak Zientzian hastera doa
		
"
"Erakusketa: ‘Sinadura bat Mar Menor aintziraren alde: Prozesuei argazkiak ateratzen’
		

"
"UPV/EHUko Unibertsitate Orientaziorako azoka, Araban
		
"
"Erakusketa: Irakasten duten kamisetak
		

"
"Estatu osoko 400 parte-hartzaile bilduko ditu ikasleentzako kirurgiari buruzko Estatuko 5. Kongresuak
		
"
"Erakusketa: “Más allá del lugar”
		
"
"Euskarazko tesien VIII. Koldo Mitxelena Sariak
		

 
"
"Jardunaldia: La Potestad Sancionadora: legislación básica y próximas modificaciones en la CAPV
		
"
"Tailerra: Malware-ren analisia: ikuspegi praktikoa
		
"
"UPV/EHUko Unibertsitate Orientaziorako azoka, Gipuzkoan
		

"
"Arabako Campuseko Esperientzia Gelen IX. Jardunaldiak
		

"
"Bidebarrieta Zientifikoa: 'Intsektuen desagerpenerantz? Egoera kezkagarriaren aurrean zenbait proposamen'
		

 
"
"Arabako Campuseko Esperientzia Gelen IX. Jardunaldiak
		

 
"
"Pazientearen hitza elkarteen ahotik’ jardunaldia
		

 
"
"Prentsaurrekoa: Sormen Ola gazteentzako kultur transmisio tailerren programaren aurkezpena
		

 
"
"Medikuntza eta Erizaintza Fakultateko eta Bilbo-Basurtuko ESIko ikertzaile profesionalen I. topaketa zientifikoa
		

 
"
"Itsas inguruneko Energia Berriztagarrien masterreko ikasle berriei ongietorria egiteko ekitaldia
		

 

					

"
"Prentsaurrekoa: Gazte Solidarioak programaren 13. edizioaren aurkezpena
		

"
"Adimen artifizialaren inguruko kongresua
		

"
"59. Matematika Olinpiadak antolatu ditu UPV/EHUk
		

"
